element,position,is_captain,is_vice_captain,multiplier,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,id_x,total_assists,total_bonus,total_bps,total_clean_sheets,total_creativity,total_goals_conceded,total_goals_scored,total_ict_index,total_influence,total_minutes,total_own_goals,total_penalties_missed,total_penalties_saved,total_red_cards,total_saves,total_threat,total_yellow_cards,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,total_in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,element_type,team,element_id,element_count,singular_name,singular_name_short,plural_name,plural_name_short,entry_id,entry_name,id_y,joined_time,player_first_name,player_last_name,short_name,waiver_pick,game_week
251,6,False,False,1,90,0,0,0,3,0,0,0,0,0,0,0,14,13.2,45.5,75.0,13.4,2,False,251,11,14,513,12,764.7,28,11,296.7,727.6,2808,0,0,0,0,0,1473.0,3,2020-08-13T09:27:16.980837Z,100.0,100.0,110979,2,0,,,16,Sadio,7.8,True,,2021-01-31T17:00:19.543957Z,,,5.0,Mané,,a,176,Mané,21,7,19,15,4,2,4,3,3,11,3,295,Midfielder,MID,Midfielders,MID,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
114,7,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,114,3,8,239,10,462.8,7,2,109.0,270.0,1164,0,0,0,0,0,359.0,3,2020-08-13T09:27:16.817871Z,100.0,100.0,124183,28,0,,,1,Hakim,2.8,False,,2020-12-05T23:00:19.905378Z,,,3.0,Ziyech,,a,70,Ziyech,247,104,63,46,100,59,116,67,3,5,3,295,Midfielder,MID,Midfielders,MID,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
120,8,False,False,1,90,0,0,0,1,0,0,0,0,0,0,0,9,13.6,28.6,9.0,5.1,2,False,120,7,16,599,14,1299.7,32,6,295.5,761.6,2887,0,0,0,0,0,892.0,2,2020-08-13T09:27:16.825056Z,,,184341,40,0,,,2,Mason,1.5,False,,,,,4.1,Mount,,a,147,Mount,28,9,2,2,22,9,7,5,3,5,3,295,Midfielder,MID,Midfielders,MID,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
228,9,False,False,1,90,0,0,1,0,0,0,0,0,0,0,0,17,13.8,6.2,9.0,2.9,3,False,228,4,11,633,11,788.2,50,6,209.1,840.4,3356,0,0,0,0,0,462.0,6,2020-08-13T09:27:16.954148Z,,,166989,57,0,,,2,Youri,2.8,False,,,,,3.5,Tielemans,,a,133,Tielemans,16,6,21,17,76,44,29,20,3,9,3,295,Midfielder,MID,Midfielders,MID,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
366,10,False,False,1,90,0,0,0,1,0,0,0,0,0,0,0,1,8.6,11.2,60.0,8.0,2,False,366,4,21,464,6,300.7,40,12,178.4,634.6,2172,0,0,0,0,0,866.0,1,2020-08-13T09:27:17.117596Z,100.0,100.0,84939,17,0,,,2,Danny,3.4,False,,2021-04-21T19:30:31.183194Z,,,4.5,Ings,,a,131,Ings,63,7,136,19,32,15,45,14,4,16,4,92,Forward,FWD,Forwards,FWD,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
140,11,False,False,1,90,0,0,1,0,0,0,0,0,0,0,0,-7,9.2,0.8,19.0,2.9,2,False,140,4,2,216,6,236.0,42,1,95.7,271.8,2086,0,0,0,0,0,451.0,4,2020-08-13T09:27:16.849015Z,100.0,100.0,80146,82,0,,,1,Jordan,0.8,False,,2020-10-18T17:30:11.950512Z,,,2.1,Ayew,,a,70,Ayew,243,26,173,26,79,31,154,28,4,6,4,92,Forward,FWD,Forwards,FWD,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
326,12,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,326,0,6,255,3,0.0,19,0,34.6,346.8,1170,0,0,0,0,45,0.0,0,2020-08-13T09:27:17.070098Z,100.0,75.0,67089,260,0,,,7,Martin,4.2,False,,2021-05-19T21:00:29.328766Z,,,3.7,Dubravka,,a,48,Dubravka,218,21,677,70,670,67,342,21,1,14,1,80,Goalkeeper,GKP,Goalkeepers,GKP,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
86,13,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,86,3,2,125,4,97.2,25,1,65.5,149.6,1248,0,0,0,0,0,415.0,3,2020-08-13T09:27:16.784301Z,100.0,100.0,44683,95,0,,,1,Jay,0.8,False,,2021-01-01T10:30:18.225481Z,,,1.7,Rodriguez,,a,54,Rodriguez,336,39,275,42,80,32,236,34,4,4,4,92,Forward,FWD,Forwards,FWD,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
311,14,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,311,1,1,145,4,145.7,7,3,61.5,186.0,907,0,0,0,0,0,285.0,3,2020-08-13T09:27:17.052239Z,100.0,100.0,200617,62,0,,,5,Daniel,1.0,False,,2021-05-05T15:30:22.055597Z,,,2.9,James,,a,43,James,300,129,224,134,142,84,260,121,3,13,3,295,Midfielder,MID,Midfielders,MID,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
232,15,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,232,6,11,549,12,485.5,23,3,128.8,485.8,2286,0,0,0,0,0,321.0,3,2020-08-13T09:27:16.958554Z,100.0,100.0,172850,173,0,,,8,Benjamin,3.8,False,,2020-12-21T22:30:15.840480Z,,,5.1,Chilwell,,a,139,Chilwell,99,36,51,10,90,5,73,10,2,5,2,246,Defender,DEF,Defenders,DEF,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
